,Item,Quantity,Price Per Unit,Total Spent
2132,Salad,5,5.0,25.0
2133,Tea,3,1.5,4.5
2134,Sandwich,5,4.0,20.0
2135,Tea,1,1.5,1.5
2137,Smoothie,2,4.0,8.0
2140,Salad,3,5.0,15.0
2141,Juice,3,3.0,9.0
2142,Coffee,4,2.0,8.0
2143,Smoothie,5,4.0,20.0
2144,Cookie,4,1.0,4.0
2145,Cake,2,3.0,6.0
2146,Juice,5,3.0,15.0
2149,Salad,5,5.0,25.0
2151,Juice,5,3.0,15.0
2152,Sandwich,3,4.0,12.0
2153,Coffee,4,2.0,8.0
2155,Smoothie,1,4.0,4.0
2157,Juice,5,3.0,15.0
2158,Coffee,3,2.0,6.0
2161,Juice,2,3.0,6.0
2162,Salad,1,5.0,5.0
2163,Tea,4,1.5,6.0
2164,Salad,5,5.0,25.0
2165,Cookie,1,1.0,1.0
2166,Juice,5,3.0,15.0
2168,Cookie,4,1.0,4.0
2169,Cake,1,3.0,3.0
2170,Salad,3,5.0,15.0
2172,Cake,4,3.0,12.0
2173,Salad,4,5.0,20.0
2175,Smoothie,4,4.0,16.0
2177,Cookie,4,1.0,4.0
2178,Tea,2,1.5,3.0
2179,Smoothie,1,4.0,4.0
2180,Smoothie,4,4.0,16.0
2181,Sandwich,3,4.0,12.0
2182,Smoothie,2,4.0,8.0
2183,Smoothie,2,4.0,8.0
2184,Coffee,4,2.0,8.0
2186,Cake,4,3.0,12.0
2188,Cake,5,3.0,15.0
2190,Smoothie,4,4.0,16.0
2192,Smoothie,5,4.0,20.0
2193,Cookie,3,1.0,3.0
2194,Sandwich,2,4.0,8.0
2195,Sandwich,2,4.0,8.0
2196,Sandwich,3,4.0,12.0
2197,Sandwich,3,4.0,12.0
2200,Sandwich,3,4.0,12.0
2201,Tea,2,1.5,3.0
2202,Juice,2,3.0,6.0
2203,Cake,2,3.0,6.0
2204,Cake,2,3.0,6.0
2206,Tea,3,1.5,4.5
2208,Coffee,3,2.0,6.0
2209,Smoothie,2,4.0,8.0
2210,Cookie,2,1.0,2.0
2212,Smoothie,3,4.0,12.0
2213,Smoothie,1,4.0,4.0
2214,Juice,1,3.0,3.0
2215,Juice,3,3.0,9.0
2216,Sandwich,5,4.0,20.0
2219,Sandwich,3,4.0,12.0
2220,Salad,3,5.0,15.0
2221,Smoothie,2,4.0,8.0
2223,Smoothie,5,4.0,20.0
2224,Salad,5,5.0,25.0
2225,Salad,3,5.0,15.0
2228,Cake,1,3.0,3.0
2230,Cake,5,3.0,15.0
2231,Coffee,5,2.0,10.0
2232,Sandwich,5,4.0,20.0
2233,Tea,2,1.5,3.0
2234,Cookie,5,1.0,5.0
2235,Salad,5,5.0,25.0
2236,Coffee,2,2.0,4.0
2237,Smoothie,4,4.0,16.0
2240,Cookie,4,1.0,4.0
2241,Coffee,4,2.0,8.0
2242,Juice,5,3.0,15.0
2243,Smoothie,3,4.0,12.0
2244,Coffee,5,2.0,10.0
2245,Smoothie,3,4.0,12.0
2247,Coffee,4,2.0,8.0
2248,Juice,2,3.0,6.0
2249,Coffee,5,2.0,10.0
2250,Salad,5,5.0,25.0
2251,Sandwich,1,4.0,4.0
2252,Sandwich,2,4.0,8.0
2253,Cookie,1,1.0,1.0
2257,Salad,1,5.0,5.0
2258,Cake,1,3.0,3.0
2259,Coffee,3,2.0,6.0
2260,Smoothie,5,4.0,20.0
2261,Coffee,4,2.0,8.0
2263,Coffee,3,2.0,6.0
2264,Tea,3,1.5,4.5
2266,Smoothie,5,4.0,20.0
2267,Tea,2,1.5,3.0
2269,Smoothie,1,4.0,4.0
2271,Coffee,2,2.0,4.0
2272,Juice,3,3.0,9.0
2273,Cookie,1,1.0,1.0
2274,Juice,2,3.0,6.0
2275,Salad,2,5.0,10.0
2276,Cookie,3,1.0,3.0
2277,Cookie,1,1.0,1.0
2278,Smoothie,4,4.0,16.0
2279,Juice,4,3.0,12.0
2282,Smoothie,5,4.0,20.0
2283,Salad,5,5.0,25.0
2285,Salad,2,5.0,10.0
2286,Juice,2,3.0,6.0
2288,Coffee,4,2.0,8.0
2290,Tea,4,1.5,6.0
2291,Salad,4,5.0,20.0
2292,Tea,1,1.5,1.5
2293,Salad,4,5.0,20.0
2294,Cake,3,3.0,9.0
2295,Coffee,3,2.0,6.0
2296,Salad,5,5.0,25.0
2297,Tea,1,1.5,1.5
2298,Smoothie,5,4.0,20.0
2299,Cookie,2,1.0,2.0
2300,Smoothie,3,4.0,12.0
2301,Juice,1,3.0,3.0
2303,Coffee,5,2.0,10.0
2304,Salad,2,5.0,10.0
2305,Smoothie,2,4.0,8.0
2306,Tea,2,1.5,3.0
2307,Sandwich,1,4.0,4.0
2309,Tea,4,1.5,6.0
2310,Salad,4,5.0,20.0
2311,Coffee,5,2.0,10.0
2312,Smoothie,4,4.0,16.0
2314,Coffee,2,2.0,4.0
2316,Cake,2,3.0,6.0
2317,Coffee,1,2.0,2.0
2318,Salad,2,5.0,10.0
2320,Cookie,3,1.0,3.0
2321,Smoothie,1,4.0,4.0
2322,Tea,3,1.5,4.5
2323,Salad,3,5.0,15.0
2325,Sandwich,4,4.0,16.0
2329,Coffee,4,2.0,8.0
2331,Cookie,2,1.0,2.0
2332,Smoothie,1,4.0,4.0
2333,Cookie,3,1.0,3.0
2334,Sandwich,1,4.0,4.0
2335,Cookie,5,1.0,5.0
2336,Smoothie,1,4.0,4.0
2337,Cookie,3,1.0,3.0
2338,Cookie,1,1.0,1.0
2339,Tea,2,1.5,3.0
2341,Tea,5,1.5,7.5
2342,Coffee,1,2.0,2.0
2343,Salad,4,5.0,20.0
2345,Smoothie,5,4.0,20.0
2346,Smoothie,4,4.0,16.0
2347,Cake,2,3.0,6.0
2348,Salad,3,5.0,15.0
2350,Smoothie,5,4.0,20.0
2351,Sandwich,5,4.0,20.0
2352,Smoothie,4,4.0,16.0
2353,Tea,5,1.5,7.5
2354,Tea,4,1.5,6.0
2355,Sandwich,5,4.0,20.0
2357,Coffee,2,2.0,4.0
2358,Cake,2,3.0,6.0
2359,Juice,3,3.0,9.0
2360,Tea,5,1.5,7.5
2363,Smoothie,3,4.0,12.0
2364,Cake,3,3.0,9.0
2366,Cake,3,3.0,9.0
2367,Tea,3,1.5,4.5
2368,Sandwich,1,4.0,4.0
2369,Coffee,1,2.0,2.0
2370,Salad,1,5.0,5.0
2373,Smoothie,4,4.0,16.0
2374,Cookie,4,1.0,4.0
2376,Cake,4,3.0,12.0
2377,Cake,5,3.0,15.0
2378,Tea,1,1.5,1.5
2379,Coffee,2,2.0,4.0
2381,Cookie,2,1.0,2.0
2384,Sandwich,4,4.0,16.0
2385,Sandwich,2,4.0,8.0
2386,Cookie,5,1.0,5.0
2387,Tea,3,1.5,4.5
2389,Coffee,3,2.0,6.0
2390,Cookie,4,1.0,4.0
2392,Coffee,4,2.0,8.0
2393,Cookie,5,1.0,5.0
2395,Juice,5,3.0,15.0
2397,Juice,1,3.0,3.0
2398,Salad,2,5.0,10.0
2399,Salad,5,5.0,25.0
2400,Sandwich,1,4.0,4.0
2401,Coffee,3,2.0,6.0
2402,Salad,2,5.0,10.0
2403,Salad,1,5.0,5.0
2404,Coffee,4,2.0,8.0
2406,Smoothie,4,4.0,16.0
2407,Juice,5,3.0,15.0
2408,Salad,1,5.0,5.0
2410,Cake,4,3.0,12.0
2411,Cake,3,3.0,9.0
2412,Sandwich,1,4.0,4.0
2413,Tea,5,1.5,7.5
2414,Coffee,3,2.0,6.0
2416,Tea,2,1.5,3.0
2417,Smoothie,1,4.0,4.0
2418,Sandwich,4,4.0,16.0
2420,Smoothie,5,4.0,20.0
2421,Cake,3,3.0,9.0
2422,Cake,1,3.0,3.0
2423,Cake,5,3.0,15.0
2424,Tea,4,1.5,6.0
2425,Sandwich,2,4.0,8.0
2426,Salad,4,5.0,20.0
2427,Coffee,3,2.0,6.0
2428,Tea,5,1.5,7.5
2429,Cookie,2,1.0,2.0
2430,Salad,5,5.0,25.0
2431,Coffee,4,2.0,8.0
2432,Cookie,5,1.0,5.0
2434,Cake,5,3.0,15.0
2435,Cookie,2,1.0,2.0
2438,Juice,1,3.0,3.0
2440,Tea,3,1.5,4.5
2441,Cookie,4,1.0,4.0
2442,Cake,1,3.0,3.0
2445,Smoothie,1,4.0,4.0
2446,Tea,1,1.5,1.5
2447,Tea,3,1.5,4.5
2448,Smoothie,1,4.0,4.0
2449,Smoothie,1,4.0,4.0
2450,Salad,2,5.0,10.0
2451,Coffee,5,2.0,10.0
2452,Cookie,4,1.0,4.0
2454,Salad,4,5.0,20.0
2455,Juice,1,3.0,3.0
2456,Cake,4,3.0,12.0
2457,Cookie,2,1.0,2.0
2458,Juice,1,3.0,3.0
2459,Cookie,4,1.0,4.0
2460,Sandwich,5,4.0,20.0
2461,Coffee,4,2.0,8.0
2463,Smoothie,2,4.0,8.0
2464,Tea,3,1.5,4.5
2465,Sandwich,4,4.0,16.0
2466,Sandwich,4,4.0,16.0
2467,Smoothie,2,4.0,8.0
2469,Coffee,2,2.0,4.0
2470,Smoothie,3,4.0,12.0
2471,Sandwich,3,4.0,12.0
2472,Coffee,1,2.0,2.0
2473,Tea,3,1.5,4.5
2474,Sandwich,4,4.0,16.0
2475,Tea,5,1.5,7.5
2476,Salad,1,5.0,5.0
2477,Cake,4,3.0,12.0
2478,Salad,4,5.0,20.0
2479,Cake,3,3.0,9.0
2480,Salad,5,5.0,25.0
2481,Coffee,1,2.0,2.0
2482,Cake,4,3.0,12.0
2484,Sandwich,5,4.0,20.0
2485,Smoothie,3,4.0,12.0
2486,Juice,2,3.0,6.0
2489,Juice,2,3.0,6.0
2490,Juice,2,3.0,6.0
2491,Cookie,1,1.0,1.0
2492,Cake,2,3.0,6.0
2493,Salad,1,5.0,5.0
2495,Tea,2,1.5,3.0
2496,Juice,5,3.0,15.0
2497,Cake,5,3.0,15.0
2498,Cake,4,3.0,12.0
2499,Cookie,5,1.0,5.0
2500,Cookie,5,1.0,5.0
2501,Smoothie,5,4.0,20.0
2502,Salad,5,5.0,25.0
2503,Tea,2,1.5,3.0
2504,Cookie,5,1.0,5.0
2505,Tea,4,1.5,6.0
2507,Coffee,4,2.0,8.0
2508,Cookie,1,1.0,1.0
2509,Cookie,4,1.0,4.0
2510,Cookie,5,1.0,5.0
2511,Cookie,3,1.0,3.0
2512,Salad,5,5.0,25.0
2513,Cake,2,3.0,6.0
2514,Smoothie,4,4.0,16.0
2517,Salad,4,5.0,20.0
2518,Juice,3,3.0,9.0
2520,Salad,1,5.0,5.0
2521,Cake,4,3.0,12.0
2522,Cookie,3,1.0,3.0
2523,Sandwich,2,4.0,8.0
2524,Coffee,5,2.0,10.0
2525,Salad,3,5.0,15.0
2526,Juice,5,3.0,15.0
2527,Tea,3,1.5,4.5
2528,Cookie,3,1.0,3.0
2529,Cookie,2,1.0,2.0
2531,Cake,2,3.0,6.0
2534,Tea,5,1.5,7.5
2535,Juice,1,3.0,3.0
2536,Coffee,3,2.0,6.0
2537,Cookie,2,1.0,2.0
2538,Juice,4,3.0,12.0
2539,Tea,2,1.5,3.0
2540,Juice,2,3.0,6.0
2541,Coffee,5,2.0,10.0
2542,Cookie,1,1.0,1.0
2543,Juice,2,3.0,6.0
2544,Sandwich,4,4.0,16.0
2545,Coffee,5,2.0,10.0
2546,Cake,1,3.0,3.0
2548,Coffee,4,2.0,8.0
2549,Salad,2,5.0,10.0
2550,Sandwich,5,4.0,20.0
2551,Salad,3,5.0,15.0
2552,Smoothie,2,4.0,8.0
2553,Coffee,3,2.0,6.0
2555,Sandwich,4,4.0,16.0
2556,Sandwich,1,4.0,4.0
2558,Cake,2,3.0,6.0
2560,Salad,2,5.0,10.0
2561,Cookie,4,1.0,4.0
2562,Smoothie,4,4.0,16.0
2567,Sandwich,5,4.0,20.0
2568,Smoothie,3,4.0,12.0
2569,Coffee,1,2.0,2.0
2572,Coffee,3,2.0,6.0
2573,Sandwich,3,4.0,12.0
2574,Cake,3,3.0,9.0
2575,Coffee,5,2.0,10.0
2576,Cookie,2,1.0,2.0
2577,Juice,5,3.0,15.0
2579,Cake,5,3.0,15.0
2580,Juice,3,3.0,9.0
2581,Coffee,3,2.0,6.0
2582,Smoothie,1,4.0,4.0
2584,Juice,1,3.0,3.0
2586,Cookie,3,1.0,3.0
2588,Cake,4,3.0,12.0
2589,Tea,4,1.5,6.0
2590,Salad,1,5.0,5.0
2591,Coffee,3,2.0,6.0
2593,Salad,5,5.0,25.0
2594,Cookie,2,1.0,2.0
2595,Cake,5,3.0,15.0
2597,Coffee,3,2.0,6.0
2598,Tea,3,1.5,4.5
2600,Juice,5,3.0,15.0
2601,Juice,5,3.0,15.0
2602,Cookie,4,1.0,4.0
2604,Salad,4,5.0,20.0
2605,Sandwich,3,4.0,12.0
2606,Cookie,4,1.0,4.0
2608,Smoothie,4,4.0,16.0
2609,Smoothie,3,4.0,12.0
2611,Tea,1,1.5,1.5
2612,Sandwich,4,4.0,16.0
2613,Smoothie,2,4.0,8.0
2614,Smoothie,2,4.0,8.0
2615,Tea,2,1.5,3.0
2616,Coffee,2,2.0,4.0
2618,Cake,1,3.0,3.0
2619,Cookie,2,1.0,2.0
2620,Juice,5,3.0,15.0
2621,Tea,1,1.5,1.5
2622,Smoothie,3,4.0,12.0
2623,Coffee,1,2.0,2.0
2626,Sandwich,2,4.0,8.0
2627,Coffee,2,2.0,4.0
2628,Juice,2,3.0,6.0
2630,Coffee,4,2.0,8.0
2631,Juice,3,3.0,9.0
2633,Tea,1,1.5,1.5
2634,Cake,5,3.0,15.0
2635,Smoothie,2,4.0,8.0
2636,Juice,1,3.0,3.0
2637,Juice,1,3.0,3.0
2638,Coffee,1,2.0,2.0
2639,Cookie,2,1.0,2.0
2640,Salad,4,5.0,20.0
2642,Juice,1,3.0,3.0
2643,Sandwich,4,4.0,16.0
2644,Salad,1,5.0,5.0
2645,Tea,4,1.5,6.0
2646,Cake,1,3.0,3.0
2648,Cookie,4,1.0,4.0
2649,Sandwich,4,4.0,16.0
2650,Coffee,4,2.0,8.0
2651,Coffee,1,2.0,2.0
2652,Juice,1,3.0,3.0
2654,Juice,1,3.0,3.0
2655,Sandwich,5,4.0,20.0
2657,Cake,2,3.0,6.0
2658,Cookie,4,1.0,4.0
2659,Juice,2,3.0,6.0
2660,Smoothie,1,4.0,4.0
2661,Sandwich,1,4.0,4.0
2662,Cookie,1,1.0,1.0
2663,Smoothie,4,4.0,16.0
2664,Salad,1,5.0,5.0
2665,Smoothie,4,4.0,16.0
2666,Salad,5,5.0,25.0
2667,Cake,1,3.0,3.0
2668,Cookie,3,1.0,3.0
2669,Tea,4,1.5,6.0
2670,Sandwich,2,4.0,8.0
2671,Smoothie,2,4.0,8.0
2672,Cookie,4,1.0,4.0
2675,Salad,3,5.0,15.0
2676,Juice,5,3.0,15.0
2677,Cake,5,3.0,15.0
2678,Cake,5,3.0,15.0
2679,Cake,2,3.0,6.0
2680,Cake,3,3.0,9.0
2681,Cake,4,3.0,12.0
2682,Juice,1,3.0,3.0
2685,Cookie,4,1.0,4.0
2686,Coffee,5,2.0,10.0
2687,Cookie,3,1.0,3.0
2688,Tea,2,1.5,3.0
2689,Cookie,3,1.0,3.0
2691,Salad,5,5.0,25.0
2692,Sandwich,4,4.0,16.0
2693,Smoothie,4,4.0,16.0
2694,Tea,3,1.5,4.5
2695,Sandwich,4,4.0,16.0
2696,Salad,1,5.0,5.0
2697,Coffee,4,2.0,8.0
2698,Tea,4,1.5,6.0
2699,Tea,2,1.5,3.0
2700,Cookie,1,1.0,1.0
2701,Salad,4,5.0,20.0
2702,Tea,3,1.5,4.5
2703,Salad,2,5.0,10.0
2704,Juice,2,3.0,6.0
2707,Coffee,3,2.0,6.0
2709,Cake,3,3.0,9.0
2710,Tea,3,1.5,4.5
2713,Juice,3,3.0,9.0
2714,Juice,3,3.0,9.0
2715,Coffee,2,2.0,4.0
2716,Cake,5,3.0,15.0
2718,Juice,2,3.0,6.0
2722,Cookie,5,1.0,5.0
2723,Tea,1,1.5,1.5
2724,Tea,5,1.5,7.5
2725,Cake,2,3.0,6.0
2726,Sandwich,1,4.0,4.0
2727,Salad,5,5.0,25.0
2728,Cake,5,3.0,15.0
2729,Cookie,5,1.0,5.0
2730,Coffee,4,2.0,8.0
2732,Salad,4,5.0,20.0
2733,Cake,2,3.0,6.0
2734,Coffee,5,2.0,10.0
2735,Sandwich,5,4.0,20.0
2736,Coffee,1,2.0,2.0
2737,Smoothie,5,4.0,20.0
2738,Tea,3,1.5,4.5
2739,Salad,5,5.0,25.0
2740,Coffee,4,2.0,8.0
2741,Tea,3,1.5,4.5
2742,Cake,3,3.0,9.0
2744,Tea,2,1.5,3.0
2745,Smoothie,1,4.0,4.0
2746,Sandwich,1,4.0,4.0
2748,Smoothie,5,4.0,20.0
2749,Cake,1,3.0,3.0
2750,Coffee,5,2.0,10.0
2751,Juice,2,3.0,6.0
2752,Salad,5,5.0,25.0
2753,Sandwich,1,4.0,4.0
2754,Cookie,1,1.0,1.0
2755,Cookie,2,1.0,2.0
2756,Smoothie,3,4.0,12.0
2757,Cake,3,3.0,9.0
2758,Salad,1,5.0,5.0
2759,Juice,4,3.0,12.0
2760,Coffee,5,2.0,10.0
2762,Sandwich,5,4.0,20.0
2763,Cookie,3,1.0,3.0
2765,Coffee,3,2.0,6.0
2767,Sandwich,3,4.0,12.0
2768,Sandwich,2,4.0,8.0
2769,Coffee,5,2.0,10.0
2770,Sandwich,3,4.0,12.0
2771,Salad,3,5.0,15.0
2772,Smoothie,4,4.0,16.0
2773,Sandwich,2,4.0,8.0
2774,Cookie,3,1.0,3.0
2775,Salad,3,5.0,15.0
2776,Salad,1,5.0,5.0
2777,Smoothie,2,4.0,8.0
2778,Tea,5,1.5,7.5
2779,Tea,5,1.5,7.5
2780,Smoothie,2,4.0,8.0
2781,Coffee,2,2.0,4.0
2782,Sandwich,4,4.0,16.0
2783,Salad,3,5.0,15.0
2784,Sandwich,2,4.0,8.0
2785,Smoothie,2,4.0,8.0
2786,Juice,4,3.0,12.0
2788,Juice,3,3.0,9.0
2789,Tea,5,1.5,7.5
2790,Cookie,5,1.0,5.0
2791,Smoothie,4,4.0,16.0
2792,Smoothie,5,4.0,20.0
2793,Cake,2,3.0,6.0
2794,Coffee,3,2.0,6.0
2795,Salad,4,5.0,20.0
2797,Tea,1,1.5,1.5
2798,Salad,3,5.0,15.0
2799,Cookie,1,1.0,1.0
2800,Coffee,1,2.0,2.0
2801,Coffee,1,2.0,2.0
2803,Cake,2,3.0,6.0
2804,Cake,1,3.0,3.0
2805,Cake,3,3.0,9.0
2806,Cookie,4,1.0,4.0
2807,Cookie,5,1.0,5.0
2808,Tea,2,1.5,3.0
2809,Sandwich,4,4.0,16.0
2810,Sandwich,1,4.0,4.0
2811,Cake,5,3.0,15.0
2812,Salad,3,5.0,15.0
2813,Smoothie,4,4.0,16.0
2814,Salad,3,5.0,15.0
2816,Sandwich,5,4.0,20.0
2818,Coffee,2,2.0,4.0
2819,Tea,4,1.5,6.0
2820,Tea,4,1.5,6.0
2822,Salad,4,5.0,20.0
2823,Cake,3,3.0,9.0
2824,Cake,5,3.0,15.0
2825,Juice,2,3.0,6.0
2826,Juice,3,3.0,9.0
2827,Cookie,2,1.0,2.0
2828,Cake,1,3.0,3.0
2829,Smoothie,4,4.0,16.0
2830,Cookie,1,1.0,1.0
2831,Tea,4,1.5,6.0
2833,Salad,2,5.0,10.0
2834,Smoothie,2,4.0,8.0
2835,Smoothie,5,4.0,20.0
2836,Cake,3,3.0,9.0
2838,Sandwich,5,4.0,20.0
2839,Tea,3,1.5,4.5
2840,Cake,1,3.0,3.0
2841,Coffee,2,2.0,4.0
2843,Salad,4,5.0,20.0
2844,Tea,3,1.5,4.5
2845,Cake,5,3.0,15.0
2847,Tea,4,1.5,6.0
2848,Smoothie,4,4.0,16.0
2849,Juice,3,3.0,9.0
2850,Smoothie,4,4.0,16.0
2851,Sandwich,5,4.0,20.0
2852,Coffee,2,2.0,4.0
2854,Coffee,4,2.0,8.0
2855,Juice,5,3.0,15.0
2856,Cookie,3,1.0,3.0
2857,Sandwich,5,4.0,20.0
2858,Salad,3,5.0,15.0
2861,Juice,2,3.0,6.0
2863,Salad,2,5.0,10.0
2864,Coffee,4,2.0,8.0
2865,Juice,1,3.0,3.0
2867,Juice,3,3.0,9.0
2868,Tea,1,1.5,1.5
2869,Juice,3,3.0,9.0
2870,Coffee,3,2.0,6.0
2871,Juice,2,3.0,6.0
2872,Tea,2,1.5,3.0
2873,Juice,3,3.0,9.0
2874,Tea,5,1.5,7.5
2875,Juice,3,3.0,9.0
2876,Cookie,5,1.0,5.0
2877,Tea,5,1.5,7.5
2879,Cookie,4,1.0,4.0
2880,Sandwich,3,4.0,12.0
2881,Sandwich,5,4.0,20.0
2882,Juice,2,3.0,6.0
2883,Cake,5,3.0,15.0
2884,Sandwich,2,4.0,8.0
2886,Cookie,3,1.0,3.0
2887,Coffee,5,2.0,10.0
2888,Coffee,5,2.0,10.0
2889,Cookie,3,1.0,3.0
2890,Sandwich,2,4.0,8.0
2891,Cookie,2,1.0,2.0
2893,Cake,4,3.0,12.0
2894,Salad,4,5.0,20.0
2895,Sandwich,5,4.0,20.0
2896,Coffee,4,2.0,8.0
2897,Coffee,5,2.0,10.0
2898,Sandwich,4,4.0,16.0
2899,Sandwich,5,4.0,20.0
2900,Tea,2,1.5,3.0
2901,Salad,3,5.0,15.0
2902,Salad,1,5.0,5.0
2903,Cake,1,3.0,3.0
2905,Juice,4,3.0,12.0
2906,Sandwich,1,4.0,4.0
2908,Sandwich,2,4.0,8.0
2909,Cake,2,3.0,6.0
2910,Sandwich,5,4.0,20.0
2912,Tea,3,1.5,4.5
2913,Cake,3,3.0,9.0
2915,Smoothie,3,4.0,12.0
2917,Juice,4,3.0,12.0
2918,Salad,4,5.0,20.0
2919,Salad,1,5.0,5.0
2920,Salad,2,5.0,10.0
2922,Cookie,5,1.0,5.0
2923,Salad,2,5.0,10.0
2924,Juice,5,3.0,15.0
2925,Cookie,4,1.0,4.0
2926,Tea,1,1.5,1.5
2927,Cake,1,3.0,3.0
2928,Sandwich,5,4.0,20.0
2929,Juice,5,3.0,15.0
2930,Salad,1,5.0,5.0
2931,Coffee,3,2.0,6.0
2932,Salad,3,5.0,15.0
2933,Cake,5,3.0,15.0
2935,Cake,5,3.0,15.0
2937,Juice,4,3.0,12.0
2938,Cookie,2,1.0,2.0
2939,Coffee,2,2.0,4.0
2940,Sandwich,5,4.0,20.0
2941,Salad,3,5.0,15.0
2942,Cookie,1,1.0,1.0
2943,Cake,5,3.0,15.0
2944,Smoothie,4,4.0,16.0
2945,Juice,1,3.0,3.0
2946,Cookie,4,1.0,4.0
2948,Coffee,3,2.0,6.0
2949,Salad,5,5.0,25.0
2950,Salad,4,5.0,20.0
2951,Coffee,3,2.0,6.0
2952,Juice,2,3.0,6.0
2953,Juice,2,3.0,6.0
2954,Tea,4,1.5,6.0
2955,Cake,2,3.0,6.0
2958,Coffee,1,2.0,2.0
2959,Salad,5,5.0,25.0
2960,Cookie,3,1.0,3.0
2961,Smoothie,1,4.0,4.0
2963,Smoothie,4,4.0,16.0
2964,Juice,3,3.0,9.0
2965,Cookie,1,1.0,1.0
2966,Coffee,4,2.0,8.0
2967,Cake,5,3.0,15.0
2970,Tea,3,1.5,4.5
2971,Sandwich,2,4.0,8.0
2973,Coffee,5,2.0,10.0
2975,Tea,3,1.5,4.5
2977,Tea,5,1.5,7.5
2980,Smoothie,3,4.0,12.0
2981,Cookie,2,1.0,2.0
2982,Cookie,1,1.0,1.0
2983,Cake,2,3.0,6.0
2984,Tea,2,1.5,3.0
2985,Smoothie,3,4.0,12.0
2986,Salad,5,5.0,25.0
2987,Tea,1,1.5,1.5
2988,Salad,2,5.0,10.0
2991,Juice,5,3.0,15.0
2992,Juice,5,3.0,15.0
2995,Cake,5,3.0,15.0
2996,Cookie,4,1.0,4.0
2998,Smoothie,5,4.0,20.0
2999,Tea,5,1.5,7.5
3000,Salad,1,5.0,5.0
3001,Juice,5,3.0,15.0
3002,Cake,2,3.0,6.0
3003,Coffee,3,2.0,6.0
3004,Sandwich,2,4.0,8.0
3005,Cake,4,3.0,12.0
3007,Tea,5,1.5,7.5
3008,Coffee,2,2.0,4.0
3009,Juice,3,3.0,9.0
3014,Tea,4,1.5,6.0
3015,Juice,3,3.0,9.0
3016,Tea,3,1.5,4.5
3018,Sandwich,2,4.0,8.0
3019,Tea,4,1.5,6.0
3020,Tea,4,1.5,6.0
3021,Cake,1,3.0,3.0
3022,Coffee,4,2.0,8.0
3023,Sandwich,2,4.0,8.0
3024,Juice,2,3.0,6.0
3027,Cookie,2,1.0,2.0
3028,Sandwich,2,4.0,8.0
3029,Tea,5,1.5,7.5
3030,Salad,2,5.0,10.0
3031,Sandwich,2,4.0,8.0
3033,Cake,1,3.0,3.0
3035,Cake,4,3.0,12.0
3036,Cake,2,3.0,6.0
3037,Sandwich,4,4.0,16.0
3038,Juice,4,3.0,12.0
3039,Coffee,1,2.0,2.0
3040,Salad,5,5.0,25.0
3041,Tea,1,1.5,1.5
3042,Tea,5,1.5,7.5
3044,Sandwich,3,4.0,12.0
3045,Juice,1,3.0,3.0
3046,Sandwich,3,4.0,12.0
3047,Cookie,5,1.0,5.0
3048,Sandwich,3,4.0,12.0
3050,Salad,1,5.0,5.0
3051,Juice,4,3.0,12.0
3052,Juice,5,3.0,15.0
3054,Sandwich,1,4.0,4.0
3055,Cake,3,3.0,9.0
3056,Juice,2,3.0,6.0
3057,Juice,3,3.0,9.0
3058,Cookie,5,1.0,5.0
3061,Cake,4,3.0,12.0
3063,Cake,5,3.0,15.0
3064,Cookie,1,1.0,1.0
3065,Juice,2,3.0,6.0
3066,Juice,1,3.0,3.0
3068,Cake,2,3.0,6.0
3069,Cookie,1,1.0,1.0
3070,Coffee,5,2.0,10.0
3071,Tea,5,1.5,7.5
3072,Cake,3,3.0,9.0
3073,Coffee,3,2.0,6.0
3074,Smoothie,3,4.0,12.0
3075,Cake,1,3.0,3.0
3076,Sandwich,1,4.0,4.0
3077,Juice,3,3.0,9.0
3080,Cake,2,3.0,6.0
3082,Cake,3,3.0,9.0
3083,Juice,1,3.0,3.0
3084,Cake,4,3.0,12.0
3085,Coffee,4,2.0,8.0
3086,Tea,3,1.5,4.5
3088,Salad,4,5.0,20.0
3090,Cookie,5,1.0,5.0
3091,Cookie,2,1.0,2.0
3092,Sandwich,1,4.0,4.0
3093,Smoothie,5,4.0,20.0
3094,Smoothie,3,4.0,12.0
3095,Coffee,1,2.0,2.0
3096,Sandwich,3,4.0,12.0
3097,Salad,3,5.0,15.0
3098,Cake,5,3.0,15.0
3099,Smoothie,5,4.0,20.0
3100,Juice,1,3.0,3.0
3101,Cookie,4,1.0,4.0
3103,Salad,4,5.0,20.0
3104,Coffee,2,2.0,4.0
3105,Smoothie,5,4.0,20.0
3107,Sandwich,5,4.0,20.0
3108,Smoothie,5,4.0,20.0
3109,Salad,1,5.0,5.0
3110,Salad,2,5.0,10.0
3111,Cookie,4,1.0,4.0
3112,Salad,3,5.0,15.0
3113,Tea,3,1.5,4.5
3116,Cake,2,3.0,6.0
3117,Cake,1,3.0,3.0
3118,Juice,2,3.0,6.0
3119,Smoothie,2,4.0,8.0
3122,Cookie,5,1.0,5.0
3123,Cookie,1,1.0,1.0
3124,Juice,3,3.0,9.0
3125,Juice,1,3.0,3.0
3126,Sandwich,2,4.0,8.0
3127,Cookie,4,1.0,4.0
3128,Smoothie,5,4.0,20.0
3130,Juice,3,3.0,9.0
3131,Cookie,1,1.0,1.0
3132,Salad,4,5.0,20.0
3133,Coffee,5,2.0,10.0
3135,Smoothie,4,4.0,16.0
